------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 14:24:00
Start Date 10/4/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 14:26:03
Download Date 10/4/2023
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.375,-0.117,0.945
0.395,-0.105,0.984
0.402,-0.086,1.02
0.402,-0.082,1.027
0.398,-0.082,1.027
0.387,-0.086,1.02
0.395,-0.074,1.004
0.406,-0.059,0.996
0.418,-0.055,0.996
0.426,-0.055,0.984
0.422,-0.059,0.973
0.414,-0.059,0.953
0.418,-0.047,0.93
0.41,-0.043,0.926
0.395,-0.074,0.934
0.375,-0.094,0.945
0.363,-0.105,0.949
0.371,-0.098,0.941
0.375,-0.094,0.934
0.387,-0.094,0.93
0.395,-0.094,0.93
0.395,-0.086,0.938
0.41,-0.055,0.941
0.402,-0.035,0.93
0.387,-0.074,0.934
0.383,-0.094,0.949
0.379,-0.082,0.961
0.363,-0.086,0.961
0.352,-0.113,0.961
0.344,-0.121,0.961
0.344,-0.109,0.961
0.352,-0.102,0.969
0.359,-0.102,0.98
0.359,-0.094,0.984
0.34,-0.094,0.973
0.332,-0.098,0.977
0.332,-0.09,0.984
0.344,-0.098,0.996
0.359,-0.102,1.008
0.363,-0.098,1.008
0.363,-0.098,1.004
0.363,-0.09,0.996
0.363,-0.09,0.992
0.359,-0.086,0.988
0.344,-0.094,0.984
0.352,-0.105,1
0.359,-0.102,1.008
0.352,-0.109,1.004
0.355,-0.113,0.984
0.363,-0.105,0.969
0.379,-0.098,0.957
0.383,-0.086,0.949
0.391,-0.074,0.938
0.383,-0.074,0.934
0.371,-0.094,0.938
0.367,-0.109,0.949
0.371,-0.105,0.957
0.371,-0.109,0.961
0.367,-0.109,0.965
0.371,-0.121,0.965
0.379,-0.094,0.961
0.387,-0.082,0.961
0.387,-0.082,0.961
0.379,-0.086,0.957
0.371,-0.094,0.957
0.379,-0.098,0.969
0.383,-0.098,0.98
0.391,-0.102,0.984
0.41,-0.098,0.98
0.406,-0.098,0.973
0.398,-0.082,0.961
0.395,-0.082,0.953
0.391,-0.094,0.957
0.398,-0.094,0.961
0.398,-0.07,0.965
0.395,-0.082,0.973
0.398,-0.098,0.984
0.402,-0.098,0.988
0.402,-0.09,0.98
0.387,-0.086,0.969
0.371,-0.094,0.969
0.352,-0.102,0.957
0.316,-0.109,0.945
0.32,-0.121,0.949
0.348,-0.117,0.969
0.383,-0.102,0.996
0.395,-0.098,1.012
0.383,-0.102,1.008
0.379,-0.105,0.996
0.383,-0.098,0.977
0.391,-0.082,0.969
0.406,-0.059,0.965
0.422,-0.047,0.984
0.426,-0.059,0.992
0.414,-0.063,0.988
0.391,-0.078,0.965
0.387,-0.086,0.949
0.387,-0.082,0.941
0.391,-0.09,0.953
0.402,-0.086,0.953
0.41,-0.082,0.957
0.402,-0.078,0.961
0.402,-0.078,0.961
0.398,-0.09,0.969
0.395,-0.094,0.969
0.375,-0.102,0.957
0.363,-0.113,0.957
0.363,-0.117,0.961
0.363,-0.117,0.965
0.352,-0.117,0.965
0.336,-0.125,0.961
0.332,-0.133,0.961
0.34,-0.121,0.961
0.344,-0.109,0.957
0.348,-0.105,0.965
0.348,-0.105,0.973
0.344,-0.102,0.977
0.344,-0.102,0.965
0.348,-0.102,0.945
0.355,-0.098,0.922
0.355,-0.094,0.898
0.352,-0.086,0.891
0.344,-0.082,0.887
0.332,-0.09,0.879
0.328,-0.098,0.879
0.313,-0.109,0.871
0.301,-0.117,0.859
0.293,-0.121,0.863
0.289,-0.125,0.883
0.293,-0.117,0.906
0.293,-0.105,0.93
0.266,-0.117,0.961
0.27,-0.113,1.004
0.281,-0.105,1.012
0.27,-0.098,1
0.281,-0.109,1
0.301,-0.094,0.996
0.316,-0.09,1.012
0.324,-0.09,1.035
0.305,-0.098,1.051
0.262,-0.129,1.059
0.211,-0.172,1.063
0.172,-0.203,1.086
0.164,-0.211,1.098
0.176,-0.195,1.102
0.188,-0.176,1.105
0.176,-0.16,1.102
0.16,-0.148,1.09
0.145,-0.145,1.078
0.141,-0.133,1.07
0.125,-0.129,1.059
0.109,-0.129,1.066
0.121,-0.117,1.094
0.133,-0.113,1.113
0.137,-0.102,1.105
0.145,-0.086,1.098
0.16,-0.078,1.105
0.152,-0.07,1.117
0.137,-0.047,1.098
0.105,-0.047,1.066
0.098,-0.074,1.047
0.094,-0.094,1.035
0.094,-0.094,1.004
0.09,-0.098,0.984
0.09,-0.117,0.977
0.094,-0.094,1.012
0.137,-0.059,1.133
0.305,-0.07,1.379
0.402,-0.055,1.551
0.305,-0.094,1.52
0.141,-0.211,1.316
0,-0.266,1.082
-0.066,-0.285,0.883
-0.039,-0.262,0.785
0.043,-0.211,0.785
0.109,-0.184,0.816
0.109,-0.184,0.852
0.113,-0.199,0.906
0.082,-0.25,0.922
0.047,-0.262,0.914
0.109,-0.258,0.98
0.203,-0.227,1.059
0.25,-0.203,1.074
0.277,-0.215,1.117
0.297,-0.23,1.172
0.309,-0.215,1.188
0.277,-0.207,1.125
0.27,-0.199,1.094
0.289,-0.188,1.105
0.289,-0.164,1.074
0.277,-0.125,1.012
0.273,-0.109,1
0.285,-0.102,1.027
0.289,-0.098,1.035
0.266,-0.094,1.016
0.246,-0.094,1.008
0.234,-0.105,1.008
0.23,-0.121,0.988
0.219,-0.125,0.973
0.211,-0.133,0.973
0.203,-0.152,0.984
0.207,-0.176,1.008
0.156,-0.195,0.945
0.074,-0.176,0.82
0.129,-0.188,0.914
0.25,-0.215,1.148
0.246,-0.199,1.195
0.141,-0.195,1.07
0.121,-0.23,1.039
0.152,-0.234,1.078
0.164,-0.227,1.07
0.105,-0.234,0.984
0.066,-0.23,0.918
0.086,-0.23,0.949
0.121,-0.238,1.016
0.125,-0.238,1.043
0.102,-0.242,1.035
0.098,-0.238,1.031
0.105,-0.234,1.051
0.133,-0.23,1.094
0.148,-0.223,1.117
0.137,-0.223,1.125
0.125,-0.223,1.117
0.109,-0.234,1.094
0.105,-0.23,1.055
0.109,-0.203,1.031
0.125,-0.188,1.039
0.133,-0.195,1.066
0.156,-0.207,1.098
0.176,-0.207,1.125
0.188,-0.207,1.121
0.176,-0.207,1.074
0.172,-0.211,1.043
0.176,-0.215,1.023
0.184,-0.211,1.023
0.211,-0.207,1.027
0.227,-0.199,1.02
0.227,-0.184,0.996
0.223,-0.184,0.973
0.207,-0.184,0.973
0.207,-0.184,0.977
0.219,-0.191,0.98
0.234,-0.188,0.988
0.25,-0.18,0.988
0.246,-0.18,0.977
0.223,-0.191,0.953
0.199,-0.207,0.934
0.176,-0.219,0.922
0.164,-0.215,0.922
0.172,-0.207,0.941
0.191,-0.203,0.961
0.223,-0.195,0.992
0.277,-0.172,1.023
0.332,-0.148,1.031
0.324,-0.031,1.465
0.535,-0.168,0.871
0.379,-0.402,0.742
0.367,-0.145,0.965
0.406,-0.008,1.043
0.422,-0.031,1
0.387,-0.051,0.906
0.352,-0.063,0.875
0.313,-0.102,0.965
0.266,-0.18,1.039
0.223,-0.246,1.055
0.148,-0.313,1.055
0.082,-0.371,1.086
0.078,-0.438,1.141
0.102,-0.461,1.113
0.109,-0.41,1.043
0.105,-0.34,1.031
0.25,-0.199,1.117
0.32,-0.184,1.121
0.004,-0.43,1.07
0.004,-0.387,0.902
0.027,-0.211,0.797
0.094,-0.094,0.82
0.137,-0.043,0.938
0.137,-0.027,1.129
0.109,-0.023,1.094
0.082,-0.07,0.969
0.063,-0.16,0.914
0.027,-0.262,0.926
0.012,-0.391,0.984
-0.016,-0.516,1.027
0.184,-0.59,1.191
0.352,-0.664,1.363
0.348,-0.652,1.457
-0.344,-0.508,1.316
-0.078,-0.297,1.145
-0.141,-0.277,1.012
-0.043,-0.211,0.988
0.18,-0.105,1.059
0.113,-0.191,1.141
0.027,-0.301,1.176
0.063,-0.352,1.141
0.031,-0.41,1.191
0.023,-0.453,1.137
0.098,-0.434,0.941
0.078,-0.379,0.863
-0.004,-0.359,0.832
-0.012,-0.313,0.824
0.051,-0.215,0.895
0.09,-0.176,0.926
0.094,-0.207,0.816
0.121,-0.285,0.766
0.129,-0.383,0.777
0.184,-0.473,0.797
0.184,-0.461,0.93
0.148,-0.355,1.137
0.188,-0.148,1.324
0.313,0.016,1.449
0.438,0.098,1.422
0.426,0.102,1.219
0.262,0.059,0.996
0.16,0.117,0.902
0.148,0.207,0.891
0.156,0.262,0.836
0.172,0.324,0.75
0.148,0.398,0.629
0.117,0.504,0.535
0.098,0.605,0.582
0.109,0.664,0.777
0.129,0.676,1.043
0.098,0.637,1.25
0.055,0.574,1.293
0.066,0.5,1.148
0.098,0.422,0.945
0.098,0.387,0.801
-0.074,0.473,0.609
0.008,0.398,0.766
0.039,0.355,0.863
0.051,0.395,0.934
0.066,0.387,0.895
0.078,0.348,0.832
0.148,0.262,0.836
0.195,0.184,0.969
0.184,0.109,1.141
0.188,0.016,1.27
0.109,-0.105,1.23
0.082,-0.207,1.148
0.184,-0.238,1.047
0.754,-0.066,1.051
0.652,-0.16,0.895
0.516,-0.281,0.887
0.551,-0.32,0.863
0.547,-0.184,0.73
0.441,-0.164,0.77
0.293,-0.184,0.984
0.203,-0.145,1.168
0.313,-0.129,1.168
0.441,-0.109,0.984
0.559,-0.121,0.805
0.703,-0.086,0.688
0.707,-0.09,0.719
0.648,-0.105,0.828
0.617,0,0.797
0.723,0.102,0.883
0.555,0.027,0.879
0.453,-0.141,0.852
0.5,-0.121,0.75
0.453,-0.148,0.773
0.453,-0.043,0.949
0.477,0.035,0.984
0.539,0.133,0.984
0.543,0.203,1.145
0.516,0.238,1.48
0.555,0.168,1.406
0.68,0.031,1.023
0.641,-0.145,0.578
0.672,-0.098,0.434
0.676,0.043,0.41
0.707,0.164,0.566
0.777,0.211,0.715
0.711,0.223,0.934
0.48,0.262,1.09
0.52,0.313,0.953
0.66,0.418,0.738
0.793,0.488,0.453
0.777,0.445,0.207
0.688,0.465,0.121
0.672,0.504,0.129
0.66,0.496,0.16
0.633,0.43,0.09
0.621,0.43,0.047
0.602,0.438,0.168
0.605,0.461,0.453
0.578,0.43,0.82
0.551,0.363,1.121
0.551,0.289,1.238
0.523,0.113,1.07
0.453,-0.145,0.852
0.395,-0.32,0.824
0.34,-0.301,0.879
0.316,-0.145,0.898
0.387,0.012,0.883
0.441,0.102,0.906
0.434,0.141,0.965
0.414,0.148,1.09
0.387,0.109,1.285
0.324,0.051,1.441
0.223,-0.012,1.445
0.105,-0.148,1.223
0.008,-0.398,0.895
-0.031,-0.59,0.668
-0.066,-0.629,0.527
-0.109,-0.586,0.508
-0.094,-0.469,0.555
-0.055,-0.383,0.711
-0.039,-0.449,1.016
-0.125,-0.504,1.242
-0.316,-0.551,1.297
-0.398,-0.66,1.223
-0.238,-0.66,1.242
-0.098,-0.605,1.402
-0.07,-0.402,1.512
-0.102,-0.242,1.477
-0.02,-0.207,1.426
0.063,-0.152,1.301
0.063,-0.156,1.195
0.07,-0.176,1.137
0.105,-0.148,1.137
0.109,-0.121,1.188
0.141,-0.121,1.402
0.086,-0.02,1.375
0.031,-0.078,1.16
0.078,-0.137,0.914
0.059,-0.188,0.648
-0.027,-0.184,0.465
-0.121,-0.121,0.32
-0.086,-0.105,0.375
-0.055,-0.051,0.566
-0.09,-0.059,0.867
-0.098,-0.063,1.152
-0.098,-0.113,1.289
-0.082,-0.199,1.293
-0.047,-0.254,1.227
-0.012,-0.285,1.199
0.008,-0.313,1.336
0.066,-0.32,1.891
0.078,-0.387,1.602
0.074,-0.293,1.195
0.012,-0.172,0.863
-0.004,-0.105,0.938
-0.023,-0.059,1.082
0,-0.07,1.109
-0.004,-0.09,1.105
-0.016,-0.148,1.105
-0.066,-0.086,0.996
-0.02,-0.121,1.027
-0.031,-0.109,1.063
-0.059,-0.172,1.008
-0.082,-0.105,0.906
-0.031,0.035,0.91
0.043,0.09,0.852
0.066,0.043,0.754
0.07,-0.016,1.375
0.289,-0.211,2.344
0.305,-0.16,1.414
0.156,0.094,0.828
0.098,0.113,0.512
0.027,0.152,0.266
0.043,0.402,0.758
0.098,0.555,1.219
0.105,0.465,1.145
0.141,0.406,1.074
0.168,0.41,1.031
0.152,0.387,0.934
0.125,0.359,0.895
0.105,0.32,1.023
0.098,0.262,1.137
0.117,0.242,1.125
0.129,0.258,1.055
0.098,0.273,0.992
0.059,0.273,0.941
0.098,0.355,0.898
0.141,0.5,0.797
0.063,0.375,0.871
0.031,0.176,1.289
0.086,0.148,1.32
0.094,0.219,1.027
0.055,0.305,0.848
0.043,0.402,0.813
0.059,0.441,0.852
0.066,0.422,0.887
0.082,0.395,0.93
0.082,0.383,0.965
0.082,0.367,0.992
0.109,0.355,1.02
0.137,0.34,1.012
0.168,0.375,0.945
0.176,0.398,0.902
0.137,0.34,0.969
-0.055,0.082,1.141
-0.09,-0.152,1.063
0.023,0.152,1.059
0.141,0.34,1.047
0.145,0.316,1.078
0.043,0.234,1.035
0.086,0.23,1.059
0.133,0.219,1.043
0.145,0.207,1.035
0.09,0.199,1.004
0.078,0.223,1.012
0.078,0.227,1.004
0.082,0.262,1.004
0.07,0.277,0.996
0.078,0.285,1
0.051,0.242,1.008
0.07,0.215,1.02
0.086,0.191,1.027
0.117,0.168,1.082
0.145,0.18,1.086
0.105,0.18,1.086
0.047,0.234,1.152
-0.008,0.199,0.969
0.09,0.207,0.82
0.18,0.27,0.973
0.172,0.281,1.027
0.152,0.27,1.031
0.129,0.246,1.02
0.027,0.211,0.969
-0.02,0.176,0.965
0.02,0.191,1.008
0.051,0.211,1.043
0.063,0.242,1.051
0.074,0.27,1.066
0.152,0.406,1.039
0.121,0.379,1.023
0.07,0.344,1.016
0.051,0.258,1.047
0.035,0.215,1.031
0.008,0.156,1.039
-0.047,0.102,1.008
-0.07,0.082,0.973
-0.039,0.047,0.996
0.004,0.055,1.008
0.066,0.129,0.988
0.125,0.18,0.984
0.176,0.172,1.02
0.223,0.156,1.07
0.168,0.109,1.066
0.129,0.066,1.086
0.125,0.094,1.094
0.129,0.133,1.098
0.141,0.164,1.098
0.125,0.242,1.047
0.102,0.305,0.992
0.09,0.238,1.023
0.066,0.18,1.082
0.016,0.094,1.004
-0.008,-0.012,0.984
0.047,-0.035,0.996
0.109,-0.02,1.188
0.133,-0.063,1.195
0.117,-0.117,1.117
0.094,-0.07,1.039
0.094,0.023,1.008
0.109,0.074,1.012
0.121,0.086,1.023
0.137,0.066,1.027
0.137,0.047,1.043
0.133,0.023,1.047
0.121,0.012,1.027
0.109,0.008,1.004
0.105,0.016,0.988
0.113,0,0.973
0.133,-0.012,0.98
0.148,-0.012,1.012
0.152,0.008,1.008
0.148,0.035,1.008
0.141,0.051,1.02
0.133,0.051,1.043
0.129,0.035,1.059
0.109,0.016,1.055
0.09,0.012,1.047
0.074,0.027,1.059
0.066,0.039,1.059
0.059,0.039,1.051
0.043,0.02,1.059
0.031,-0.008,1.074
0.02,-0.016,1.082
0.012,-0.023,1.078
0.004,-0.039,1.07
-0.02,-0.047,1.066
-0.012,-0.027,1.09
0.004,0.031,1.082
0.016,0.082,1.047
0.023,0.094,1.027
0.027,0.09,1.047
0.031,0.066,1.066
0.031,0.051,1.07
0.035,0.027,1.066
0.043,0.02,1.063
0.039,0.02,1.051
0.043,0.012,1.055
0.063,0.016,1.066
0.063,0.023,1.063
0.059,0.012,1.039
0.059,-0.02,1.039
0.047,-0.047,1.055
0.035,-0.047,1.09
0.031,0,1.082
0.031,0.059,1.051
0.027,0.094,1.02
0.016,0.094,1.023
0.012,0.066,1.055
0,0.039,1.074
-0.004,0.023,1.07
-0.008,0.027,1.066
-0.004,0.047,1.063
-0.004,0.047,1.047
0.012,0.047,1.055
0.016,0.031,1.059
0.012,0.035,1.063
0.039,0.082,1.043
0.059,0.086,1.078
0.063,0.094,1.094
0.094,0.129,1.035
0.098,0.152,0.992
0.082,0.137,1.02
0.094,0.129,1.051
0.078,0.086,1.039
0.031,0.016,1.055
-0.02,-0.023,1.066
-0.043,-0.023,1.074
0.016,-0.004,1.063
0.07,0.043,1.063
0.109,0.09,1.059
0.109,0.117,1.082
0.066,0.059,1.102
0.035,0.016,1.078
0.02,0.023,1.055
-0.027,0.039,0.984
-0.051,0.059,0.953
-0.008,0.066,1.008
0.004,0.09,1.039
0.035,0.098,1.055
0.063,0.133,1.074
0.074,0.129,1.043
0.051,0.063,1.074
0.02,-0.012,1.098
0.016,-0.043,1.082
0.031,-0.039,1.063
0.039,-0.027,1.051
0.051,-0.02,1.059
0.055,-0.02,1.074
0.051,0,1.059
0.047,0.063,1.191
0,0.047,1.074
0.035,0,0.938
0.055,0.031,1.004
0.039,0.09,1.066
0.035,0.09,1.059
0.043,0.063,1.031
0.051,0.07,1.055
0.039,0.078,1.063
0.031,0.074,1.039
0.039,0.063,1.02
0.055,0.043,1.039
0.063,0.027,1.066
0.063,0.027,1.074
0.047,0.051,1.055
0.039,0.086,1.039
0.047,0.094,1.035
0.051,0.082,1.039
0.055,0.07,1.047
0.051,0.059,1.055
0.039,0.039,1.051
0.031,0.023,1.059
0.027,0.023,1.063
0.023,0.023,1.066
0.023,0.047,1.066
0.027,0.082,1.063
0.027,0.098,1.043
0.027,0.102,1.039
0.039,0.086,1.043
0.051,0.074,1.059
0.047,0.066,1.063
0.047,0.066,1.051
0.043,0.055,1.051
0.043,0.043,1.055
0.035,0.039,1.063
0.039,0.043,1.066
0.023,0.063,1.055
0.031,0.074,1.047
0.031,0.082,1.051
0.031,0.082,1.059
0.035,0.078,1.063
0.035,0.082,1.059
0.043,0.086,1.047
0.047,0.086,1.051
0.051,0.098,1.051
0.055,0.098,1.059
0.059,0.102,1.059
0.063,0.102,1.059
0.063,0.098,1.043
0.063,0.094,1.031
0.066,0.09,1.035
0.074,0.094,1.055
0.078,0.105,1.035
0.07,0.113,1.047
0.074,0.113,1.07
0.07,0.113,1.086
0.07,0.105,1.082
0.055,0.082,1.027
0.043,0.063,1.008
0.047,0.066,1.051
0.063,0.074,1.07
0.063,0.059,1.039
0.055,0.047,1.031
0.051,0.047,1.051
0.059,0.066,1.07
0.078,0.078,1.055
0.074,0.082,1.031
0.066,0.074,1.023
0.07,0.074,1.043
0.086,0.066,1.063
0.094,0.059,1.066
0.086,0.055,1.059
0.078,0.066,1.043
0.066,0.094,1.039
